School,卡片類型,卡片編號,卡片名稱,稀有度,時機點,發球,攔網,接球,托球,攻擊,完整技能,注釋
青葉城西,EVENT,HV-P01-085,入畑 伸照,N,抽牌,-,-,-,-,-,技能：抽1張卡。 若從自己的場上支付合計8點Guts則可使用。 這個回合中，自己的<青葉城西>角色登場時，將該角色任意1個點數+1。,
青葉城西,EVENT,HV-P01-086,"指揮者""が代われば""音""が変わる",R,"抽牌,接球",-,-,-,-,-,技能：從自己的棄牌區將1枚<青葉城西>的角色卡加入手牌。,
青葉城西,EVENT,HV-P01-087,俺も思った☆,N,"發球,舉球",-,-,-,-,-,技能：當自己的發球角色或托球角色是「及川 徹」時可以使用。 抽1張卡， 並將自己1名「及川 徹」角色的托球點數+1。 此外，在下一個對手的回合中，對手每次以「抽卡」以外的方式將卡片加入手牌時，對手必須從手牌棄掉1張卡。,
青葉城西,EVENT,HV-P01-088,お前達は 強いよ,N,接球,-,-,-,-,-,技能：抽最多1張卡。 選擇自己1名<青葉城西>的角色，其接球點數+1。 若自己的手牌在3枚以下，則其接球點數再+1。,
烏野,EVENT,HV-D01-011,バレーは!!! 常に上を向くスポーツだ (排球是!!! 永遠向上看的運動),D,接球,-,-,-,-,-,[抽1張卡，自己的1名角色的接球點數+1。該角色的接球點數為4以下的場合，再+1。,
烏野,EVENT,HV-D01-012,ブロード攻撃 (Broad Attack / 廣域攻擊),D,攻擊,-,-,-,-,-,抽1張卡，自己的1名烏野角色的攻擊點數+1。自己的舉球角色為「影山飛雄」且攻擊角色為「日向翔陽」的場合，下個對手回合中，對手最多只能登場1名攔網角色。,
烏野,EVENT,HV-P01-074,烏養 一繋,N,攻擊,-,-,-,-,-,抽 1 張卡，自己的 1 名角色的攻擊點數+1。若對手的事件區中，可在 [=抽牌] 或 [=接球] 階段使用的卡片合計 5 張以上，則攻擊點數再+2。,
烏野,EVENT,HV-P01-075,清水 潔子,N,"接球, 攻擊",-,-,-,-,-,自己的 1 名烏野角色的 1 項參數+1，若在接球階段中，則抽 1 張卡。,
烏野,EVENT,HV-P01-076,加油,N,抽牌,-,-,-,-,-,自己的手牌在 4 張以下時，從自己的 1 個區域，將 2 張相同所屬的 Guts 加入手牌。,
烏野,EVENT,HV-P01-077,拼命向前衝,N,"接球, 回合1",-,-,-,-,-,自己的 1 名烏野接球角色的接球點數+2，若該角色為「西谷 夕」，則抽 1 張卡。,回合1……在這個回合中，使自己場上與這張卡同名的卡片之技能無效。
烏野,EVENT,HV-P01-078,開放式進攻,S,攻擊,-,-,-,-,-,抽 2 張卡，從自己的手牌丟棄 1 張卡。若自己的事件區中的「開放式進攻」在 2 張以下，則從自己的棄牌區將 1 張「日向 翔陽」登場到攻擊區，並使該角色的攻擊點數+1。,
烏野,EVENT,HV-P01-078,開放式進攻,SP,攻擊,-,-,-,-,-,抽 2 張卡，從自己的手牌丟棄 1 張卡。若自己的事件區中的「開放式進攻」在 2 張以下，則從自己的棄牌區將 1 張「日向 翔陽」登場到攻擊區，並使該角色的攻擊點數+1。,
烏野,EVENT,HV-P01-079,我可沒有 1mm 認為光靠我一人就能獲勝,N,攔網,-,-,-,-,-,抽 1 張卡，自己的 1 名烏野攔網角色的攔網點數+1。若該角色為「月島 螢」，則從自己的發球區將最多 1 名「山口 忠」角色加入手牌，在下一個對手的回合中，對方的接球角色每登場 1 次，該角色的接球點數-2。,
烏野,EVENT,HV-P01-079,我可沒有 1mm 認為光靠我一人就能獲勝,NP,攔網,-,-,-,-,-,抽 1 張卡，自己的 1 名烏野攔網角色的攔網點數+1。若該角色為「月島 螢」，則從自己的發球區將最多 1 名「山口 忠」角色加入手牌，在下一個對手的回合中，對方的接球角色每登場 1 次，該角色的接球點數-2。,
音駒,EVENT,HV-D02-011,手は前っつったでしょう ノブカツくん (我不是說了手要往前嗎，信勝同學),D,"攔網, 接球",-,-,-,-,-,抽1張卡。從以下選擇1個使用。 ▶將自己1位攔網角色的「黑尾 鐵朗」的攔網點數+1。 ▶將自己1位角色的接球點數+1。,
音駒,EVENT,HV-D02-012,物理攻撃でブッ倒ればいいんだよね (用物理攻擊打倒就好了吧),D,抽牌,-,-,-,-,-,抽1張卡。查看自己牌庫頂3張卡，將其中最多1張「灰羽 列夫」或「犬岡 走」公開並加入手牌。未加入的卡片以喜歡的順序放回牌庫底。,
音駒,EVENT,HV-P01-080,猫又 育史,N,接球,-,-,-,-,-,抽1張卡，自己的1名角色的接球點數+1。若對手的事件區域中，可於[托球]或[攻擊]時機發動的卡片合計有5張以上，則接球點數再+2。,-
音駒,EVENT,HV-P01-081,山本 あかね,N,攻擊,-,-,-,-,-,抽1張卡，自己的1名音駒角色的攻擊點數+1。若自己所有角色皆為音駒，可從自己的接球區域支付3點毅力(Guts)使用。攻擊點數再+1。,-
音駒,EVENT,HV-P01-082,"これが""繋ぐ""ということだ",S,接球,-,-,-,-,-,抽1張卡。可選擇以下1個效果發動。▶自己的1名音駒角色的接球點數+1。▶將自己1名接球點數為5以上的音駒角色的接球點數變為7。,-
音駒,EVENT,HV-P01-083,1stテンポの同時多発位置差攻撃,R,攻擊,-,-,-,-,-,抽1張卡。若自己所有角色皆為音駒，可從自己的場上支付合計5點毅力(Guts)使用。自己的1名角色的攻擊點數+3。,-
音駒,EVENT,HV-P01-084,"""助走""は 翔陽の翼だね",N,舉球,-,-,-,-,-,僅當自己的托球角色為「孤爪 研磨」時可使用。抽1張卡，自己的1名托球角色的托球點數+1。此外，下一個對手回合中，對手無法從手牌將MB的攻擊角色登場。,-
梟谷,EVENT,HV-P01-089,闇路 建行,N,"抽牌, 接球",-,-,-,-,-,查看自己牌組上方的3張卡，將其中最多1枚<梟谷>的卡片公開並加入手牌。 將未加入手牌的卡片以任意順序放回牌組最下方。,
梟谷,EVENT,HV-P01-090,"""その瞬間""が有るか、無いかだ",S,攻擊,-,-,-,-,-,抽一張卡，讓自己的一名梟谷角色攻擊點數+1。如果自己所有角色都是梟谷角色，在對手的下一個回合中，當對手失敗時，抽牌使你的手牌數量達到7張。,在自己所有角色都是梟谷的情況下，打出這張卡後的「下一個對手的回合」中，對手在使用完 HV-P01-035「岩泉 一」的技能後宣告了 Lost。此時能否因這張卡的效果抽牌？可以。因為在宣告 Lost 的那個時間點，已經不屬於任何一方的回合，所以依照這張卡的效果，可以抽牌。
梟谷,EVENT,HV-P01-091,音駒の専売特許じゃねえぞ！,R,接球,-,-,-,-,-,抽1張卡， 將自己1名<梟谷>角色的接球點數+1。 若從自己的攔網區域棄掉1枚<梟谷>的角色卡則可使用，將對手的攻擊的進攻點數-1。,
稲荷崎,EVENT,HV-P02-084,黑須 法宗,N,接球,,,,,,抽1張卡，自己1名稲荷崎角色的接球值+1。自己的EVENT區的發球或托球或攻擊的稲荷崎卡合計2張時，接球值+1。,
稲荷崎,EVENT,HV-P02-085,大見 太郎,N,接球,,,,,,自己1名稲荷崎角色的接球值+1。自己1張稲荷崎手牌放到棄牌區發動。抽2張牌。,
稲荷崎,EVENT,HV-P02-086,稲荷崎応援団,N,"發球, 抽牌",,,,,,自己所有角色均為稲荷崎時發動。抽1張牌。在發球階段時，下一個對手回合中，對手登場沒有效果的接球角色時，該角色接球值-1，自己發球角色是「宮侑」時，接球值-1。,
稲荷崎,EVENT,HV-P02-087,どん ぴしゃり,"S,SP",攻擊,,,,,,抽1張卡，自己的 托球角色是「宮侑」 及 攻擊角色是「宮治」 時，可以發動以下三個效果。▶自己Guts的最多1張「宮侑」在托球區登場。▶自己Guts的最多1張「宮治」在攻擊區登場。▶自己的1名稲荷崎角色能力值+1。,
稲荷崎,EVENT,HV-P02-088,"双子速攻 マイナス・テンポ ""裏""!!!",N,攻擊,,,,,,抽1張卡，自己的1名稲荷崎角色攻擊值+1。自己的 托球角色是「宮治」 及 攻擊角色是「宮侑」 時，下個對手回合中，對手不能使用攔網Event卡,
稲荷崎,EVENT,HV-P02-089,どや俺の仲間すごいやろって もっと言いたかったわ,"S,SP",抽牌,,,,,,自己棄牌區的最多1張「宮侑」和最多1張「宮治」和最多1張「宮兄弟」加到手牌。如果出現加3張時，自己手牌棄1張到棄牌區。,
稲荷崎,EVENT,HV-D03-012,優勝候補ってやつだ,D,接球,,,,,,抽1張卡，自己1個稲荷崎角色的接球值+1。支付接球區 4 Guts 發動。抽1張卡。,
稲荷崎,EVENT,HV-D03-013,今日 何をする？,D,"舉球, 攻擊",,,,,,自己的二傳角色是「宮侑」或「宮治」時發動。抽1張卡，該角色的托球值+1。,
白鳥沢,EVENT,HV-P02-094,鷲匠 鍛治,N,接球,,,,,,抽1張卡，自己1名白鳥沢角色接球值+1。自己手牌將1張沒有技能的白鳥沢角色卡放置到棄牌發動效果。接球值再+2。,
白鳥沢,EVENT,HV-P02-095,斉藤 明,N,抽牌,,,,,,自己棄牌區最多2張沒有技能的白鳥沢角色卡加入手牌。如果加入兩張到手牌時，自己１張手牌放置到棄牌區,
白鳥沢,EVENT,HV-P02-096,うちのスパイカーに 道を空けろ,"R,RP","回合1, 攻擊",,,,,,抽1張卡，自己1名白鳥沢角色攻擊值+1。自己的托球角色是「白布 賢二郎」及攻擊角色原始攻擊值為3時發動效果。自己攻擊區的一張 Guts「牛島 若利」登場。該角色攻擊值+1。,
白鳥沢,EVENT,HV-P02-097,クソ かっけえええ…!!!,N,攻擊,,,,,,抽1張卡，自己1名白鳥沢角色攻擊值+1。自己的攻擊角色是「牛島 若利」時，下一個對手回合中，對手不能從手牌中登場攔網角色的MB。,
白鳥沢,EVENT,HV-P02-098,頼むぞ,N,"攻擊, 回合1",,,,,,抽1張卡，自己1名白鳥沢角色攻擊值+1。自己的攻擊角色是「五色 工」時，自己手牌1張「牛島 若利」放置到棄牌區發動效果，攻擊值再+1。,
伊達工業,EVENT,HV-P02-090,追分 拓朗,N,"攔網, 接球",,,,,,抽一張牌。選擇以下1項效果發動。▶自己1名攔網值3的伊達工業角色攔網值+1。▶自己1名伊達工業角色接球值+1。,
伊達工業,EVENT,HV-P02-091,"最強の防御で最速の攻撃 それが ""ブロック""。",N,攔網,,,,,,抽一張牌，自己1名伊達工業角色攔網值+1。對手EVENT區的托球或攻擊卡合計4張時，攔網值再+6，此回合中，攔網成功時，獲得Block Kill 7。,
伊達工業,EVENT,HV-P02-092,"来年の""鉄壁""は 絶対崩れねぇよ","N,NP","攔網, 抽牌",,,,,,抽一張牌，自己中間攔網是伊達工業·3年時，自己區域內最多1名伊達工業1年或2年角色加入手牌。如果有加入時，自己將1張手牌放到棄牌區。,
伊達工業,EVENT,HV-P02-093,バンチ・リード・ブロック,R,攔網,,,,,,抽一張牌，自己1名伊達工業角色攔網值+1。自己攔網區有2名或以上伊達工業角色時，此回合中，攔網成功時，獲得Block Kill 5。如果攔網區有3名或以上伊達工業角色時，下個對手回盒中，對手接球角色登場時，該角色接球值-1。,,EVENT,HV-P01-092,今年は面白くなりそうだな,R,-,-,-,-,-,-,"[=レシーブ]
[=ターン1]カード1枚を引き、自分のキャラ1人のレシーブポイントに+1する。自分のデッキの上から1枚を公開し、自分のコートにそのカードの所属と同じ所属のキャラがいない場合、さらにレシーブポイントに+1する。公開したカードをデッキの下に置く。",
,EVENT,HV-P01-093,誰だろうと受けて立つ,R,-,-,-,-,-,-,"[=サーブ][=ブロック][=アタック]
[=ターン1]カード1枚を引く。自分のデッキの上から1枚を公開し、自分のコートにそのカードの所属と同じ所属のキャラがいない場合、自分のキャラ1人のパラメータ1つに+1し、次の相手のターン中、相手は[=トス]や[=アタック]でプレイできるイベントカードをプレイできない。公開したカードをデッキの下に置く。",
